Iterations,8b_choice_result,8b_number_result,8b_token_result
11,0,1,0
12,0,1,0
13,3,2,0
14,6,3,0
15,19,3,3
16,21,2,2
17,11,3,6
18,15,5,4
19,13,4,7
20,3,4,6
21,1,7,6
22,2,2,5
23,1,5,3
24,2,4,4
25,0,2,2
26,0,5,1
27,1,2,2
28,0,4,2
29,0,1,2
30,1,2,1
31,0,3,3
33,0,0,3
34,0,2,1
35,0,0,4
36,0,1,2
37,0,3,1
38,0,2,6
39,0,5,3
40,1,5,2
41,0,3,1
42,0,3,5
43,0,0,3
44,0,2,0
45,0,1,0
46,0,1,1
49,0,1,1
50,0,0,1
51,0,2,0
52,0,1,0
53,0,0,1
54,0,0,1
55,0,1,0
57,0,0,2
60,0,2,1
62,0,0,2
64,0,0,2
72,0,1,0
